Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,USD,42885000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,USD,44848000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,USD,40676000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtSecurities,USD,71189000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtSecurities,USD,69674000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,34704000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,34704000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,17305000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,19634000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,111262000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,111262000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,81017000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,CashCashEquivalentsAndShortTermInvestments,USD,80021000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,13931000000.0,,2022-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,13931000000.0,,2022-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,22884000000.0,,2022-09-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2022Q3I
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,15646000000.0,,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,15646000000.0,,2022-12-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2022Q4I
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,USD,26562000000.0,,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2023Q1I
