Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,CommonStockSharesOutstanding,shares,12460000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,CommonStockSharesOutstanding,shares,12460000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,CommonStockSharesOutstanding,shares,12381000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,CommonStocksIncludingAdditionalPaidInCapital,USD,68184000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,CommonStocksIncludingAdditionalPaidInCapital,USD,76534000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,CommonStocksIncludingAdditionalPaidInCapital,USD,76534000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,CommonStocksIncludingAdditionalPaidInCapital,USD,77913000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,ComprehensiveIncomeNetOfTax,USD,73777000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,ComprehensiveIncomeNetOfTax,USD,53992000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,ComprehensiveIncomeNetOfTax,USD,16654000000.0,2023-01-01,2023-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2023Q1
us-gaap,ComprehensiveIncomeNetOfTax,USD,76996000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,ComprehensiveIncomeNetOfTax,USD,23225000000.0,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,ContractWithCustomerLiability,USD,4500000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,ContractWithCustomerLiability,USD,5000000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,ContractWithCustomerLiabilityCurrent,USD,3908000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,ContractWithCustomerLiabilityCurrent,USD,4137000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,ContractWithCustomerLiabilityCurrent,USD,4137000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,ContractWithCustomerLiabilityCurrent,USD,3973000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,599000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,911000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,911000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,921000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,ContractWithCustomerLiabilityRevenueRecognized,USD,2400000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,ContractWithCustomerLiabilityRevenueRecognized,USD,2400000000.0,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,USD,0.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,USD,0.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,USD,0.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,USD,0.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,CostOfRevenue,USD,110939000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,CostOfRevenue,USD,126203000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,CostOfRevenue,USD,30612000000.0,2023-01-01,2023-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2023Q1
us-gaap,CostOfRevenue,USD,133332000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,CostOfRevenue,USD,33712000000.0,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,CostsAndExpenses,USD,178923000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,CostsAndExpenses,USD,207994000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,CostsAndExpenses,USD,52372000000.0,2023-01-01,2023-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2023Q1
us-gaap,CostsAndExpenses,USD,223101000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,CostsAndExpenses,USD,55067000000.0,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,CurrentFederalStateAndLocalTaxExpenseBenefit,USD,10126000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,CurrentFederalStateAndLocalTaxExpenseBenefit,USD,17120000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,CurrentFederalStateAndLocalTaxExpenseBenefit,USD,17125000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,CurrentForeignTaxExpenseBenefit,USD,2692000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,CurrentForeignTaxExpenseBenefit,USD,2434000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,CurrentForeignTaxExpenseBenefit,USD,2526000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,CurrentIncomeTaxExpenseBenefit,USD,12818000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,CurrentIncomeTaxExpenseBenefit,USD,19554000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,CurrentIncomeTaxExpenseBenefit,USD,19651000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,DebtAndEquitySecuritiesGainLoss,USD,12270000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,DebtAndEquitySecuritiesGainLoss,USD,-5519000000.0,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,DebtAndEquitySecuritiesGainLoss,USD,84000000.0,2023-01-01,2023-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2023Q1
us-gaap,DebtAndEquitySecuritiesGainLoss,USD,-823000000.0,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,DebtAndEquitySecuritiesGainLoss,USD,1781000000.0,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,USD,143000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,USD,130000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,USD,130000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,USD,127000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,DebtSecuritiesAvailableForSaleAllowanceForCreditLossPeriodIncreaseDecrease,USD,91000000.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
